QUEST_20150317_000001	Пожалуйста, выберите пользователя, требующие обновления квеста.
QUEST_20151022_002871	Ах! Хорьков украли вяленую говядину в этот раз.{nl}хорьков абсолютно любят вяленого мяса. {nl}найти украденные говядины jerkeys и убедитесь в том, чтобы развратить их.
QUEST_20151022_002872	Погоня за девочкой!{nl}она не должна встретиться с Богослов!
QUEST_20151022_002873	Наконец-то нашел тебя! Хорьков тоже есть свои способы применения.
QUEST_20151022_002874	Там, кажется, летать скрывается среди нас... найти и устранить их.
QUEST_20151022_002875	Стой! Вы не должны быть в среднем лететь так далеко.
QUEST_20151022_002876	Идеальное время, мое тело начинает превращаться жесткой.{nl}не смей думаю, что вы вернетесь живым. Кузнечик!
QUEST_20151022_002877	Не думаю, что это конец... если ты думаешь, что я позволю тебе спасти Лада, подумайте еще раз!
QUEST_20151022_002878	Мне нельзя сдавать Kruvina к вам!
QUEST_20151022_002879	Поскольку это стало к этому, я буду использовать силу Kruvina, чтобы раздавить тебя!
QUEST_20151022_002880	Что ты делаешь... смотрящего...{nl}это не твоя забота!
QUEST_20151022_002881	Это Giltine питания.{nl}это желательно мощность не имеет значения для кого-то вроде тебя. 
QUEST_20151022_002882	Взамен сдать власть, что Giltine одобрил.
QUEST_20151022_002883	Спасибо вам, что спасли нас. Если бы не твой свет, он может стать опасным.{nl}я вернусь обратно в город и сообщить, что хорьки появились.
QUEST_20151022_002884	Хорьков играть мертвым в критических ситуациях.
QUEST_20151022_002885	Хорьков любопытные животные и едят, что они еще не видели.
QUEST_20151022_002886	Мои глаза встретились с хорьком, искал вокруг. Хорек выглядит скучно.
QUEST_20151022_002887	Хорьки ведут ночной образ жизни и, кажется, спать много в течение дня.
QUEST_20151022_002888	Хорьков являются плотоядными животными и, кажется, не любят фрукты, что намного.
QUEST_20151022_002889	Демоны. Настройка. Тотем.{nl}тотем. Касания. Хорьки становятся сильнее.{nl}хорьков. Выиграть против людей!
QUEST_20151022_002890	Плод стал крупнее. Сбежал трус людей.{nl}нет человеческих квалификаций! Хорьки будут их отпугивать!
QUEST_20151022_002891	Демоны. Помогает хорьков. Демоны. Повернулся хорьки сильнее.{nl}демоны. Пытался защитить. Люди. Не может приблизиться.{nl}затем демоны. Продолжать помогать хорьков.
QUEST_20151022_002892	Этот хорек не имеет единого интереса общаться со мной.
QUEST_20151022_002893	Загадочная девушка убежала к Zeraha без слов. Давайте следовать за ней. 
QUEST_20151022_002894	Вяленое мясо не может быть найдено здесь.
QUEST_20151022_002895	Только фрукты можно видеть из этой корзины.
QUEST_20151022_002896	Это должно быть не в ту корзину.
QUEST_20151022_002897	Девушка появилась и попросила меня следовать за ней.
QUEST_20151022_002898	Черная Душа
QUEST_20151022_002899	Я чувствую поток загадочной силы после обжига черные души демонов.
QUEST_20151022_002900	Шепот может быть услышан, чтобы взять их души алтарь.
QUEST_20151022_002901	Я думал, они придут, чтобы спасти своего товарища, но...{nl}не тому человеку кажутся поймал.
QUEST_20151022_002902	Вы, кажется, делают хорошо в моей регулируются тюрьме.{nl}Вам может быть Богослов, что Giltine говорил.{nl}но, даже Богослов-всего лишь человек... я, Marnox невозможно сопротивляться против!
QUEST_20151022_002903	Я не могу терять время с вами.
QUEST_20151022_002904	Этого должно быть достаточно.
QUEST_20151022_002905	Приобретая Растение Папоротник-Орляк.
QUEST_20151022_002906	Приобрела Папоротник Трава!
QUEST_20151022_002907	Приобретенные Травы!
QUEST_20151022_002908	Сжечь коробку наполненный braken.
QUEST_20151022_002909	Коробки, наполненные брекен был сожжен.
QUEST_20151102_002910	И чтобы защитить тебя...{nl} я мог сделать не больше прятать тебя среди многих других носителей откровений.
QUEST_20151102_002911	Аванс до 7-го ранга??
QUEST_20151102_002912	Зря смерть-это единственное, что лежит в конце для тех, кто просто стремиться быть дерзкими.{nl}если вы хотите, чтобы спасти мир, поднимите щит Peltasta.
QUEST_20151102_002913	Пожалуйста, защитите Namott барьер находится на вершине долины.{nl}я буду распоряжаться остальной бардак, когда братья прибывают.
QUEST_20151102_002914	Приветствую. Я слышала, ты приехала из Uska. {nl}не стой там просто так. Я хотел бы переговорить с вами.
QUEST_20151102_002915	Привет, извини за беспорядок.{nl}пожалуйста, поймите, это в настоящее время еще трудно для нас, чтобы оправиться.{nl}ты ничего не хочешь хранить??
QUEST_20151102_002916	First of all, magic must be strong.{nl}Using powerful spells to unleash powerful magic is basic.{nl}What can you do with weak magic?{nl}
QUEST_20151102_002917	Чтобы стать сильнее маг, нельзя слоняться вокруг и игнорируют практику.{nl}ну, вы могли бы все еще быть в состоянии догнать талантливых людей, таких как я.
QUEST_20151102_002918	Очень важно сохранять спокойную голову, когда с помощью магии.{nl}не только вы не можете быть в состоянии использовать магию, когда потеря самообладания, {nl}возможно, Вы также окажетесь в опасности.{nl}тех, кто использует магию должны держать свои головы и сердца спокойствие в любых ситуациях.
QUEST_20151102_002919	Деликатный контроль необходим для более высокого ранга магии.{nl}незначительная оплошность может привести к фатальному исходу.{nl}Вы не должны забывать это, как вы получите больше и умелые ручки более разнообразной магии.
QUEST_20151102_002920	An advice from me?{nl}Speaking as a Linker, you must have a wide perspective.{nl}There are many cases of those mages who uses synergy magic, {nl}without checking their surroundings as they want to cast magic as soon as possible.{nl}
QUEST_20151102_002921	Не только вы должны смотреть на себя и своих врагов, {nl}но вы должны также должны быть в голове у вашего товарища по оружию.{nl}если Вы не планируете последствия твоей магии вперед, {nl}вы ничем не отличаются от тех безрассудных начинающий солдат, размахивая своими мечами вокруг небрежно.
QUEST_20151102_002922	Psychokino Томе Томе 1
QUEST_20151102_002923	Сюжет первой Psychokino
QUEST_20151102_002924	Psychokino Томе Том 2
QUEST_20151102_002925	История Psychokino магия
QUEST_20151102_002926	Psychokino Томе Томе 3
QUEST_20151102_002927	История Psychokinos перед Medzio Диена
QUEST_20151102_002928	Psychokino Томе Томе 4
QUEST_20151102_002929	Что Psychokino сделал в Маг башни
QUEST_20151102_002930	Psychokino Томе Томе 5
QUEST_20151102_002931	Psychokino потенциал
QUEST_20151102_002932	После господа миграция сократилась, народ на юг, в направлении Орши.{nl}если вы авантюрист, который недавно начал ездить, голову в кэмпинг на восток.{nl}там должны быть люди, которые способны направлять вас.
QUEST_20151102_002933	Я видел Орши со склона на пути сюда из города.{nl}великолепие окружено крепостной стены я видел, как парень исчез,{nl}и теперь спиральный с деревья размером с дом.{nl}интересно, как долго вы сможете продержаться в таком месте.
QUEST_20151102_002934	Очевидно, что интеллект для волшебника и его принадлежность.{nl}однако, вы также должны помнить дух заклинания часто.{nl}выберите хорошо между балансом и концентрацией.
QUEST_20151102_002935	Очевидно, что сила для лучника и его принадлежность.{nl}однако нельзя забывать шустрые ловкость.{nl}лучше продумать наперед, кем стать.
QUEST_20151102_002936	Очевидно intelliegence для священнослужителя и его принадлежность.{nl}однако, вам может также потребоваться сила или дух.{nl}лучше продумать наперед, кем стать.
QUEST_20151102_002937	Только если наш город также был постоялый двор для купцов для проживания и отдыха.{nl}мы могли бы подготовили заранее...{nl}пробыв так долго на входе в долину, мы должны страдать за незнание мировых делах.
QUEST_20151102_002938	Живущие там внутри Оршанский частично разрушили крепость.{nl}, живущих здесь с кишащим монстрами и страха безопасность.{nl}оба тяжело выбор сделать.{nl}я хочу вернуться обратно в свой родной город..
QUEST_20151102_002939	Пожалуйста, пусть люди с запахом океана спустился Dallanas.{nl}это начинает становиться неловко с людьми не следует рассматривать как время проходит.{nl}случайно, все уехали в Оршу без меня??
QUEST_20151102_002940	Нет никакого способа, что такое огромное количество людей может ввести Орше.{nl}вот почему мы стараемся собрать и разместить здесь как можно больше.
QUEST_20151102_002941	Lethargy and fear can be seen in people's eyes.{nl)What would you do if you were the village chief?
QUEST_20151102_002942	{nl}это пожилые люди с жалобой...{nl}я беспокоюсь за господа...
QUEST_20151102_002943	Те, кто обычно ленится по-прежнему беззаботный в эти времена опасности.{nl}люди, которые были, предполагают, чтобы прибыть рано меня еще впереди.
QUEST_20151102_002944	Эта земля была под защитой предков семьи.{nl}я буду защищать эту землю, независимо от того, какие трудности приходит мой путь.{nl}пожалуйста, одолжите мне свою силу.
QUEST_20151102_002945	Не было ни одного случая демонов, которые, будучи вовлеченными в течение нескольких лет я провел в роли преследователя.{nl}я верю, что мы видели всех демонов в данной области.
QUEST_20151102_002946	Слухи о том, что ты невероятная.{nl}она распространилась по всему Орше.
QUEST_20151102_002947	Мне придется пересмотреть свой родной город после выполнения этой задачи.{nl}я хочу увидеть моих родителей пережив такое ужасное событие.
QUEST_20151102_002948	Я не верю, что есть более важные задачи в Орше, чем здесь.
QUEST_20151102_002949	Я молюсь, чтобы все информанты являются безопасными.
QUEST_20151102_002950	Чтобы выжить в таком мире, преследователь должен быть более пригоден, чем охотник.{nl}
QUEST_20151102_002951	Пожалуйста найти Урбонас вместо того, чтобы беспокоиться обо мне.
QUEST_20151102_002952	Пожалуйста, спаси нас от Marnox рук.
QUEST_20151102_002953	Я скучаю по тем временам мирного Орше.{nl}те дни никогда не возвращаться, верно??
QUEST_20151102_002954	Демоны, спускающиеся с запада.{nl}события в Ashaq Подвальной тюрьме было только начало.{nl}сколько еще жертв должно быть сделано...{nl}интересно, как долго мы сможем защитить Орше.
QUEST_20151102_002955	Все раны еще не заживают.{nl}мы выйдем тогда, когда нам удастся прогуляться.
QUEST_20151102_002956	Это ужасно, чтобы поверить, что я мог бы исчезли.
QUEST_20151102_002957	By any chance have you seen my cargo left at the Woods of the Linked Bridges?{nl}It should've had my mother's keepsake and other various items...
QUEST_20151102_002958	Когда вы покидаете эту зону, вы станете священником, {nl}, что будет дальше посвятить богине' слова...{nl}я молю, чтобы ты благополучно вернуться.
QUEST_20151102_002959	Чеканщик Daramaus
QUEST_20151102_002960	Какое богатство и честь Torvana наслаждения и последовал за мной сюда, чтобы в таком месте...{nl}я должен извиниться перед Torvana когда я благополучно вернуться из этого места.
QUEST_20151102_002961	Чеканщик Torvana
QUEST_20151102_002962	Я следовал вот так Пран обычно имеет знакомство...{nl}но я не знаю тот факт, что он был кем-либо, действующим на такое безрассудное поведение.
QUEST_20151102_002963	До столицы королевства было разрушено, {nl}королевства отправляется офицеры были разгром и раздражает нас...{nl}я скучаю по тем старым временам.
QUEST_20151102_002964	Я верю, что все невзгоды здесь стал опыт.{nl}есть много историй, чтобы сказать моим детям, когда я вернусь обратно в мой родной город.
QUEST_20151102_002965	Я помню то время, когда они вербовали охотников назад в моем родном городе впервые.{nl}я следовал здесь верою в моего брата, но там просто слишком много задач.{nl}не говоря уже всерьез опасно.
QUEST_20151102_002966	Я нашел способ жить более прилежно назад в моем родном городе.{nl}я хочу видеть свою семью...
QUEST_20151102_002967	Если я не выдержу и убеги, я стану дезертиром...{nl}, когда это задание закончится, мне придется всерьез рассмотреть выписывают.{nl}но если такое и произойдет, я не знаю, как буду дальше.
QUEST_20151102_002968	После того как эта часть работы завершена, {nl}я буду с просьбой об отпуске, чтобы провести мои дни спать со своим теплым одеялом.
QUEST_20151102_002969	Господа Гвардия
QUEST_20151102_002970	Лорд чрезвычайно занят.{nl}Тривиальные вопросы нужно уточнять с другим менеджером.
QUEST_20151102_002971	Там слишком много людей с просьбой встретиться с Господом.{nl}в конце концов, Господь решил покинуть стены замка, чтобы успокоить толпу.
QUEST_20151102_002972	С возвращением! Это коммерческий район Клайпеды.{nl}Вы найдете всевозможные аксессуары и оборудование продается здесь.
QUEST_20151102_002973	Добро пожаловать! Вот бросить все это??
QUEST_20151102_002974	Безымянный Демон
QUEST_20151102_002975	Погоня за девочкой!{nl}она не должна встретиться с Богослов!
QUEST_20151102_002976	Наконец-то нашел тебя! Хорьков тоже есть свои способы применения.
QUEST_20151102_002977	Там, кажется, летать скрывается среди нас... найти и устранить их.
QUEST_20151102_002978	Стой!{nl}Вы не должны быть в среднем лететь так далеко.{nl}
QUEST_20151102_002979	Did your legs froze from fear?{nl}Or do you actually believe a human like you can handle my axe?{nl}
QUEST_20151102_002980	Затем, я должен отправить вам ваш возлюбленный богини стороне!
QUEST_20151102_002981	Не думаю, что это конец... если ты думаешь, что я позволю тебе спасти Лада, подумайте еще раз!
QUEST_20151102_002982	Да...{nl}он будет уничтожен вашими руками...
QUEST_20151102_002983	Я сокрушу все с Kruvina сила!!
QUEST_20151102_002984	Что ты делаешь... смотрящего...{nl}это не твое дело!!
QUEST_20151102_002985	That idiot...{nl}Did he forget about Giltine's mission?{nl}
QUEST_20151102_002986	Эта сила-то, что ты не медведь.{nl}
QUEST_20151102_002987	Однако, что Богослов...{nl}...конечно, должен быть устранен.{nl}
QUEST_20151102_002988	Zaura.{nl}грех забыл, и моя миссия будет погашена, что откровений с головой.{nl}
QUEST_20151102_002989	Вот. Это сила, которая Giltine одарила вас.{nl}такой мощности вполне достаточно даже без Kruvina питания.{nl}{nl}
QUEST_20151102_002990	Just now... A female child?{nl}Am I correct?{nl}
QUEST_20151102_002991	What is that strange light...{nl}What is happening?{nl}
QUEST_20151102_002992	...Я сначала вернуться в город и сообщить, что хорьки появились.{nl}Спасибо, что спасла меня.
QUEST_20151102_002993	I pray to the goddess hoping that my prediction is correct.{nl}Oh right, you do know that bonfire has to be burnt with firewood?{nl}
QUEST_20151102_002994	Демон Богиня Giltine
QUEST_20151102_002995	Лайма крыло..{nl}это красиво каждый раз, когда я смотрю на него...
QUEST_20151102_002996	Однако, мне не нравится цвет.
QUEST_20151102_002997	Слушай.{nl}в сторону малинового цвета намного красивее...
QUEST_20151102_002998	Are you regretting the decision?{nl}I can feel it. We are sisters after all...
QUEST_20151102_002999	Does it hurt a lot?{nl}Are you sad?
QUEST_20151102_003000	Ты ненавидишь... меня??
QUEST_20151102_003001	Пожалуйста, подождите.{nl}только..., что человек проснулся.
QUEST_20151102_003002	Боль и печаль... отчаяние...{nl}все те спадет в течение этого лица.
QUEST_20151102_003003	Пожалуйста, помогите мне...{nl}Богослов, пожалуйста... пожалуйста, прекрати Giltine.
QUEST_20151102_003004	Голос звал меня по имени может быть услышан.
QUEST_20151102_003005	Метод для очищения земли...{nl}я верю, что священнослужителей может знать больше об этой теме.
QUEST_20151102_003006	Я знаю способ, чтобы очистить демонов.{nl}
QUEST_20151102_003007	Вы должны задержать дыхание, так, что никто не будет вам смысл.{nl}затем, незаметно приблизиться к огням...{nl}
QUEST_20151102_003008	Darn. A method to purify the earth, but not the demons?{nl}You should've found Druid Master if that's the case. The order is wrong.
QUEST_20151102_003009	You need my power?{nl}The price is bit steep. Is it a job worth that much?{nl}
QUEST_20151102_003010	Hold on... A method to purify the earth?{nl}Hey... I'm just a mercenary. Go find the answers somewhere else.
QUEST_20151102_003011	Вы приехали в неправильное место, если вы ищете способ, чтобы очистить землю.{nl}независимо от того, как вы посмотрите на него, разве что друид Мастер есть ответы??
QUEST_20151102_003012	Хорек прикидывается мертвым в критических ситуациях.
QUEST_20151102_003013	Хорек, похоже, не нравится, что много фруктов.
QUEST_20151102_003014	Хорек стал сильнее, касаясь тотем.{nl}хорьков! Выиграть против людей!
QUEST_20151102_003015	Плод стал крупнее!{nl} убегать трусом человека!{nl}
QUEST_20151102_003016	Никаких человеческих квалификаций!{nl} хорьки будут их отпугивать!
QUEST_20151102_003017	Демоны помогут хорьков.{nl}делает нас сильнее!{nl}
QUEST_20151102_003018	Демоны сказали, чтобы защитить.{nl}люди! Не подходите ближе!{nl}
QUEST_20151102_003019	Затем демоны. Продолжать помогать хорьков!
QUEST_20151102_003020	Загадочная девушка убежала к Zeraha без слов. Давайте следовать за ней. 
QUEST_20151102_003021	Девушка появилась и попросила меня следовать за ней.
QUEST_20151102_003022	Ты всех спасти??
QUEST_20151102_003023	Искать реликвии.
QUEST_20151102_003024	Найденные реликвии.
QUEST_20151224_003025	Toras
QUEST_20151224_003026	Выберите имя для вашей спутницы.
QUEST_20151224_003027	Deep Underground Prison
QUEST_20151224_003028	Deep Underground Prison (Recommended Lv: 90) {nl}Only you and your party members can enter together. {nl}Are you sure you want to enter?
QUEST_20151224_003029	Демон Тюрьмы Гильдии
QUEST_20151224_003030	Demon Prison Guild (Recommended Lv : 115){nl}Only you and your party members can enter together.{nl}Are you sure you want to enter?
QUEST_20151224_003031	Я отвечаю за управление малым запросы.{nl}пожалуйста, навещай меня время от времени.
QUEST_20151224_003032	Ах, да, я ценю это.{nl}
QUEST_20151224_003033	Кузнец По Очереди Зары
QUEST_20151224_003034	Оборудования Торгового Дункель
QUEST_20151224_003035	Товар Купец Мирина
QUEST_20151224_003036	Они говорят, что священная реликвия должна была защитить откровения. {nl} это то, что вам нужно использовать, чтобы заманить и победить в Gesti.
QUEST_20151224_003037	Аксессуар Купец Ronesa
QUEST_20151224_003038	Я слышал не так давно благодаря носителей откровений демонов не мешать Башня магов.{nl}будь я на его месте я сделал бы точно никто бы не осмелился даже подумать об этом в первую очередь.{nl}
QUEST_20151224_003039	Так что то, что случилось с моей семьей этого не случится никогда.
QUEST_20151224_003040	Кузнец Анна
QUEST_20151224_003041	Аксессуар Купец Джоана
QUEST_20151224_003042	Я знал, что мы сможем сорвать бесов силой богинь.{nl}но, я бы никогда не догадался, Giltine использовать Божественное дерево...{nl}
QUEST_20151224_003043	Какое мерзкое проклятие. {nl}посмотрим, кто сильнее. Naktis' проклятие или богиня' очиститель.
QUEST_20151224_003044	Конечно у меня есть очиститель. {nl}но я не отдам его вам, если вы предлагаете мне деньги.
QUEST_20151224_003045	Это позор.
QUEST_20151224_003046	Богинями оставил несколько вещей в руках первый Паладин.{nl}угроза демона королевы Gesti, в миссии с высоким приоритетом.{nl}
QUEST_20151224_003047	Было также отмечено, что Спаситель придет.{nl}
QUEST_20151224_003048	Но примечательно, статуя богини Ausrine в Клайпеде, которое является.{nl}она может принять вас везде вы хотите, несмотря на не Богиня Vakarine.
QUEST_20151224_003049	Если вы хотели задать мне какой Бокоро-это, я опишу ее следующим образом:{nl}посредника, стоящего между жизнью и смертью.
QUEST_20151224_003050	Менеджер Логи
QUEST_20151224_003051	Смерть уходит все дальше от меня каждый раз, когда статуя Духа-ведущей Сова поднимается.{nl}даже в мое старое и усталое тело, если я могу помочь нашему миру силой богинь,{nl}, что я должен продолжать делать...
QUEST_20151224_003052	Does eternal life interest you?{nl}We, Necromancers, think the opposite. We deal with those whose hearts no longer beat.{nl}
QUEST_20151224_003053	Менеджер Molуn
QUEST_20151224_003054	Спасибо, что спасли нас от такой непосильной мытарства.{nl}взять часть моей силы, а также.
QUEST_20151224_003055	I trust you won't just take our power and run away with it?{nl}We are only sharing it with you because it's what the Owl Chief commanded.
QUEST_20151224_003056	Прошло не много времени с тех пор как я пришел в себя, я боюсь, что это все силы я...{nl}я надеюсь, что вы найдете ее полезной.
QUEST_20151224_003057	Джурус, прости меня за не выполнения Ваших заказов.{nl}мы потеряли Делмор замок.{nl}какая у нас есть невероятно ужасающее зрелище.{nl}демоны... они начали охоту на людей.{nl}
QUEST_20151224_003058	Я бежал, но я не думаю, что я дойду до Орши.{nl}если кто-то найдет это письмо, просьба принять это к Джурус в Орше...{nl}пожалуйста, укреплению семьи. Эпох.
QUEST_20151224_003059	Прежде всего, магия должна быть сильной.{nl}используя мощные заклинания для развязывания мощной магии является основным.{nl}что вы можете сделать со слабой магией, верно??
QUEST_20151224_003060	Чтобы стать сильным магом, Вы не можете слоняться вокруг и игнорируют практику.{nl}ну, вы могли бы быть в состоянии догнать талантливых людей, таких как я.
QUEST_20151224_003061	Очень важно сохранять спокойную голову, когда с помощью магии.{nl}не только вы не можете быть в состоянии использовать магию, когда потеря самообладания, {nl}возможно, Вы также окажетесь в опасности.{nl}
QUEST_20151224_003062	Те, кто используют магию должны держать свои головы и сердца спокойствие в любых ситуациях.
QUEST_20151224_003063	Деликатный контроль необходим для более высокого ранга магии.{nl}незначительная оплошность может привести к фатальному исходу.{nl}
QUEST_20151224_003064	Вы не должны забывать это, как вы получите больше и умелые ручки более разнообразной магии.
QUEST_20151224_003065	An advice from me?{nl}Speaking as a Linker, you must have a wide perspective and an open mind.{nl}
QUEST_20151224_003066	Есть много случаев из тех магов, кто использует магию.{nl}без проверки их окрестностей, как они хотят, чтобы бросить магии как можно скорее.{nl}
QUEST_20151224_003067	Не только вы должны смотреть на себя и своих врагов, {nl}но вы должны также должны быть в голове у вашего союзника с оружием в руках.
QUEST_20151224_003068	Если Вы не планируете последствия твоей магии вперед, {nl}вы ничем не отличаются от тех безрассудных начинающий солдат, размахивая своими мечами вокруг небрежно.
QUEST_20151224_003069	...После стольких несчастных случаев великие и выдающиеся подвиги, Zerai наконец-то нашла людей с{nl}которым он мог бы изучать сверхъестественные способности, которые проявляются в себя.{nl}в конце концов они пришли в контакт с магом группа, известная как Маг общества.{nl}
QUEST_20151224_003070	Мага Общество обнаружило, что Zerai полномочия не являются исключительными,{nl}и могут быть извлечены любым независимо от их состояния.{nl}очень много, как по волшебству сама.{nl}
QUEST_20151224_003071	Вот как Zerai стал официальным членом и первым Psychokino Мастер {nl}, когда-либо признанный Маг общества.{nl}конечно, в то время, говорят, он и сам толком не знаю, что он станет основателем {nl}новой ветви магии.
QUEST_20151224_003072	...Как таковой, когда Psychokino магия проявляет себя, результаты идентичны,{nl} но на самом деле есть два способа это может произойти.{nl}первый способ-это когда один материализуется сверхъестественные силы в виде обычных заклинаний.{nl}
QUEST_20151224_003073	Другой путь-это очень особый случай, как тот, что возник этот самый сук магии. {nl}это получается только у нескольких одаренных людей, чьи сверхъестественные способности проявляются естественным образом.{nl}
QUEST_20151224_003074	Zerai возможно, был первым мастером этих одаренных магов, {nl}но это известный факт, что даже те, кто родился без таких полномочий {nl}может достичь тех же результатов с помощью регулярных магическое обучение.
QUEST_20151224_003075	...С миром, попадающих в бедствие, Илийский Terid, мастер, гордо неся достижений {nl}из предыдущей Psychokinos, считает, что запись нашего пред-Medzio Диена истории{nl}было очень важной задачей и решил взять перо в свои руки.{nl}
QUEST_20151224_003076	Помогая тем, кто родился с помощью этих мощных способностей не причинять боль своей семье и соседям, когда они проявляются и направляя их по пути магии была самая важная работа мастера выполняли с самого начала.{nl}
QUEST_20151224_003077	У этой, казалось бы, простая задача не была правильно проведена, катастрофы бы пробил от маленьких деревень до Medzio Диена.
QUEST_20151224_003078	...Людей могут развиться психологические проблемы от сосредоточения на одной вещи слишком долго
QUEST_20151224_003079	So who should be in charge of controlling and preventing these issues for other magicians?{nl}Without us Psychokinos to watch over them, another magician could easily slip into madness, and should he or she be powerful enough, there is no knowing what things they could be capable of in the Mage Tower or out in the world.{nl}Antares is one such powerful magician...{nl}
QUEST_20151224_003080	((Книжная полка сломана.))
QUEST_20151224_003081	Я считаю, что роль Psychokinos стала даже более важно теперь, когда мир попал в катастрофу.{nl}мы должны следить за священнослужителей, которые теперь потеряны без богинь, мы должны контролировать и победить монстров, которые бродят в наш мир и взять на себя все обязанности.{nl}
QUEST_20151224_003082	Как мы ни старались трудно сказать, является ли обязанности, принятые богинь в прошлом может быть что прекратились.{nl}
QUEST_20151224_003083	Например, если вы найти легендарный фантастический библиотеке, помогая богинь внутри или, если они отсутствуют даже там, восстановлении и поддержании он может стать огромная задача...
QUEST_20151224_003084	Волшебники aremagicians, которые являются наиболее посвящена фундаментальной магии.{nl}не возвращаясь к истокам лучший способ начать знакомство прочнее виды магии??
QUEST_20151224_003085	С помощью сильных заклинания на канале сильная магия-это стандарт.{nl}, но не зависят только от одного вида магии,{nl}вы должны научиться конъюгат различных отраслях она.
QUEST_20151224_003086	Поселенцы, которые приехали в Оршу чувствовать себя неловко при виде корней деревьев, окружающих стен.{nl}они хотят, чтобы сжечь их, но боятся, что Орша сгорит вместе с ними.
QUEST_20151224_003087	Наша огненная магия-это то, что отличает Pyromancers не только.{nl}но, если вы играете с огнем Вы не можете контролировать, вы будете ничего, кроме пироман.{nl}
QUEST_20151224_003088	Поворачивая плохой ситуации вокруг что Cryomancers делать.{nl}наше холодное самообладание-это основной источник нашей магической силы.
QUEST_20151224_003089	Cryomancers должен оставаться холодным и расчетливым во все времена.{nl}самомнения, беспечности и праздности будет конец для тебя.
QUEST_20151224_003090	Есть очень много людей в Орше сейчас, вы не можете сказать, кто из поселенцев и кто беженец.{nl}интересно, если это не слишком много для нашего Господа до ручки...
QUEST_20151224_003091	Psychokinos' магию бренда отличается по сравнению с другими типами.{nl}верить в себя и иметь уверенность с бесконечными пределами.{nl}эти источники Psychokinos' магическая сила.
QUEST_20151224_003092	Даже после Medzio Диена мы были заняты всякими проблемами.{nl}и нам, может быть обращена к наиболее важным из них всех.
QUEST_20151224_003093	Все существа в этом мире связаны в некотором роде.{nl}мы можем положить конец всем конфликтам, если мы принимаем друг друга как одно и то же.
QUEST_20151224_003094	Смена облика-это очень глубокое Тип магии, а просто обучение это не сделает вас сильнее.{nl}если Вы не можете использовать его в бою, тебе лучше учиться чему-то еще.
QUEST_20151224_003095	Для Тауматургов, это битва, что имеет значение.{nl}Вы должны контролировать других свойств и форм в способе, которым это выгодно вам.
QUEST_20151224_003096	Орша тоже страдает всякими авариями, поэтому ничего не получается.{nl}все что нам нужно сейчас-талантливые сильные люди, которые могут помочь нам.
QUEST_20151224_003097	Мы не зацикливайтесь на одном собственность.{nl}нам Elementalists комбинировать различные свойства стихий в эффективный способ.
QUEST_20151224_003098	Преимущество использования лука является то, что можно добить противника издалека.{nl}разумеется, что бессмысленно, если Вы не можете прицелиться, ха-ха.
QUEST_20151224_003099	Лучники уже неуязвимым для любого противника там, {nl}но есть один тип, который на самом деле делает их сильнее.{nl}я говорю о летающих-типа враги с тканью доспехи.
QUEST_20151224_003100	Если ты убегаешь, когда есть слишком много врагов, ищите в другом месте.{nl}я не увлекаюсь победив только один раз.
QUEST_20151224_003101	В Рейнджерс' методы специализированы для работы с несколькими противниками сразу.{nl}если вы собираетесь защищать этого многие поселенцы, разве это не преимущество для вас??
QUEST_20151224_003102	Щиты, скалы, монстры, вы должны использовать все, что можно.{nl}нет такого понятия, как быть застенчивым в бою.
QUEST_20151224_003103	Конечно кричащие методы тоже хороши...{nl}когда тебе не больно и нет опасности умереть, то есть.
QUEST_20151224_003104	Используя ловушки, чтобы повлиять на многих врагов сразу это специальность саперов.{nl}мы используем приемы, взятые на вооружение из военно-инженерного искусства.
QUEST_20151224_003105	Я считаю, что Сапер всегда должен быть осторожным.{nl}любую ловушку настройке может полностью изменить исход битвы.
