QUEST_LV_0200_20150317_000001	Philipas' Солдата
QUEST_LV_0200_20150908_009058	Кажется, что вы затронули то, что трогать нельзя!{nl}победить Архонта, который был запечатан!
QUEST_LV_0200_20150908_009059	Встретить Kupole Arune, перемещая во 2-й зоне демонов тюрьме!
QUEST_LV_0200_20150908_009060	Вы собрали достаточное количество яда из Chafperors. Теперь соберите яд колючих деревьев.
QUEST_LV_0200_20150908_009061	Вы собрали достаточное количество яда из колючих деревьев. Теперь, собирать яд в пруд.
QUEST_LV_0200_20150908_009062	Покаяние маршрут из Великого собора
QUEST_LV_0200_20150908_009063	Это тоже сушеный так сок не выходит больше!
QUEST_LV_0200_20150908_009064	Собирая кусты
QUEST_LV_0200_20150908_009065	Вы получили хорошо высушенные кусты!
QUEST_LV_0200_20150908_009066	Ты не кололи колючки кустов!
QUEST_LV_0200_20150908_009067	Выкапывать металлическую пластину
QUEST_LV_0200_20150908_009068	Ты упал вниз, пока вы копали вверх металлическую пластину, но ты выкопал это хорошо!
QUEST_LV_0200_20150908_009069	Монстры, внезапно появившиеся возле металлической пластиной!
QUEST_LV_0200_20150908_009070	Вы выкопали металлическую пластину хорошо!
QUEST_LV_0200_20150918_009071	Я смог вернуть себе часть своей силы благодаря тебе, но это только начало -- {nl} я помогу защитить тебя сейчас заманивают демоны с поддельными откровение в этой башне. {nl}
QUEST_LV_0200_20150918_009072	Пожалуйста, примите Лайма откровения от великого собора. Верьте в себя и никогда не держите какие-либо сомнения.{nl} Победа обязательно будет твоей в конец.
QUEST_LV_0200_20150918_009073	Приветствую. {nl} нам не хватает на многие вещи, поэтому мы должны использовать каждый бит мы получили.
QUEST_LV_0200_20150918_009074	Mothstem? I've seen it in Fedimian Suburbs. {nl}Pardoner Master was also looking for it. Were you not able to find it yet?
QUEST_LV_0200_20150918_009075	Поспешим на Извиняющий Мастер. Он искал, что банку с огнем в течение длительного времени.
QUEST_LV_0200_20150918_009076	You mean the Jar of Fire? I know about it. {nl}But I won't give you any information for free. Maybe the hardened oil from the Blue Puragi in Saknies Plains could help me talk...
QUEST_LV_0200_20150918_009077	Если она вам не нужна, тогда я тоже нет выбора. {nl} я купец, а не волонтер.
QUEST_LV_0200_20150918_009078	Ой, спасибо большое. {nl} я слышал, что монстра под названием Mothstem имеет банку с огня и он бы никогда не отпускать его.
QUEST_LV_0200_20150918_009079	Хм, я слышала товар купец увидел его недавно. Ты должен спросить его об этом.
QUEST_LV_0200_20150918_009080	Какой кошмар. Это так разочаровывает. {nl}торговца вроде меня могут не полностью понимать, что ты чувствуешь, но все же...
QUEST_LV_0200_20150918_009081	Для всех, что, сделай мне одолжение, и я дам тебе что-нибудь приятное. Это может не быть столь же большой, как тот, который вы сломали, но все равно довольно полезно.
QUEST_LV_0200_20150918_009082	Я не прошу много. {nl} Вы можете видеть это в знаках паломники делают вдоль Голодающего демона путь.
QUEST_LV_0200_20150918_009083	Если нет, тогда мне больше нечего. {nl} если мы можем, мы будем взаимно прибыль.
QUEST_LV_0200_20150918_009084	You've come to want something, huh? {nl} An interesting life really depends on reckless challenges, huh?
QUEST_LV_0200_20150918_009085	Well, well. What have I been doing? {nl} Oh, my Liliya...{nl}
QUEST_LV_0200_20150918_009086	Ее музыкальная шкатулка и ожерелье были схвачены и по Naktis' слуг, и настоянный на Naktis' проклятие. {nl}это-как будто они пытаются издеваться над maven-а учения.
QUEST_LV_0200_20150918_009087	Держись, моя голова снова звонит от этого проклятия. {nl} есть еще так много сказать... я не знаю, если я буду в состоянии справиться с этим прямо сейчас.
QUEST_LV_0200_20150918_009088	Спасибо большое. Это действительно становилось лучше. {nl} музыкальную шкатулку.. моя Лилия.. она может больше не быть в этом мире. {nl}
QUEST_LV_0200_20150918_009089	Если вы столкнетесь с какой-либо из Naktis' владений, пожалуйста, обязательно внимательно осмотрите их ради нее. {nl} символ нашей любви, что демон проглотил... пожалуйста, примите это как нашу благодарность за помощь требовать мести.
QUEST_LV_0200_20150918_009090	Этот символ-ожерелье благословения Великого собора, поэтому он должен быть очень полезным. {nl} мне, что ожерелье не имеет никакого смысла.
QUEST_LV_0200_20150918_009091	Спасибо за ваши добрые слова.{nl}я был бы очень признателен, если бы вы могли победить монстров, вот что мешает мне.
QUEST_LV_0200_20150918_009092	Пожалуйста, протестируйте его на монстров, которые отражают свет души.
QUEST_LV_0200_20150918_009093	Если вы используете этот медицины на этот раз, души, запертые в животе монстра будет светить.{nl}когда вы победите этих монстров, захваченных души будут освобождены.{nl}
QUEST_LV_0200_20150918_009094	Have you found the rest of the restrained souls?{nl}As I expected... this crafting recipe now belongs to you then.{nl}
QUEST_LV_0200_20150918_009095	Спасибо.{nl}наши союзники были доставлены в гнездо на правой стороне Ishrai перекрестке.
QUEST_LV_0200_20150918_009096	Вы должны гулять столько, сколько вы можете.{nl} пламя пар появляется только на мгновение.
QUEST_LV_0200_20150918_009097	Я слышал, что некоторые видели обиженной души.{nl}может быть, это души, которые не смогли достичь Богиня Ausrine... это ужасно.
QUEST_LV_0200_20150918_009098	Так ты теперь один грамотный Родельеро.{nl}но, как насчет боя в Colimencia... тот, что в поместье Грин семьи.
QUEST_LV_0200_20150918_009099	Когда некоторые вещи не хватает, это означает, что есть некоторый номер для улучшения.{nl}не волнуйся. Я могу это додумать.
QUEST_LV_0200_20150918_009100	Вы бы почувствовать вес его.{nl}но, вы должны осознать свои недостатки, чтобы стать лучше Родельеро.{nl}
QUEST_LV_0200_20150918_009101	То, что вы сделали-это действительно потрясающе.{nl}я с нетерпением жду, чтобы увидеть твой рост как мастера Садху.
QUEST_LV_0200_20150918_009102	Дионисия является слишком сильным для нас, чтобы лицом.{nl}даже Vakarine не сможет сделать ничего, если мы пойдем поздно.
QUEST_LV_0200_20150918_009103	Внезапно, отряд красных рыбаки появились!
QUEST_LV_0200_20150918_009104	В Mushwort, что съела Сова скульптура появилась!
QUEST_LV_0200_20150918_009105	После поглощения выносливость, дерево корень Кристалл разбросаны ее ядер!{nl}находим рассеянные ядрами и уничтожить их!
QUEST_LV_0200_20150918_009106	Корень дерева кристаллы были разделены и рассеяны!{nl}найти настоящие и уничтожить их!
QUEST_LV_0200_20150918_009107	Глядя на кристалл
QUEST_LV_0200_20150918_009108	Воля упала с дерева корень кристаллы
QUEST_LV_0200_20150918_009109	Победить монстров, которые завязаны на злых энергий!
QUEST_LV_0200_20150918_009110	Уборка алтаря
QUEST_LV_0200_20150918_009111	Ты убирал алтарь!
QUEST_LV_0200_20150918_009112	Похоже, что Tetraox съели дух!
QUEST_LV_0200_20150918_009113	Статуя была подделка!{nl}поражение Sparnashorn!
QUEST_LV_0200_20150918_009114	Тревожная Сова на перекрестке Ishrai
QUEST_LV_0200_20150918_009115	Грита сказала, чтобы активировать башни защитные устройства снова, ему потребуется огромное количество энергии. Набор жемчужина Грите дал тебе на земле и зарядить камень с монстрами' жизненная сила.
QUEST_LV_0200_20150918_009116	Слабые Сова скульптура рассказал вам найти его Сова коллег.{nl}искать их в логово монстра в сторону правой стороне Ishrai перекрестке. 
QUEST_LV_0200_20150918_009117	Разрушенные Сова скульптура была полностью разрушена. Скажите слабых Сова скульптура, что произошло.
QUEST_LV_0200_20150918_009118	Пилигрим Юлий вдруг превратился в Drapeliun увидев музыкальная шкатулка. Успокоить Drapeliun, что атакует, уменьшая его HP ниже 50% и убеждая его.
QUEST_LV_0200_20150918_009119	Уничтожить проклятое дерево корень Кристалл защиты камня
QUEST_LV_0200_20150918_009120	Поговорите с захваченных души
QUEST_LV_0200_20150918_009121	Проверьте Veinika алтарь
QUEST_LV_0200_20150918_009122	Проверьте Veinika алтарь
QUEST_LV_0200_20150918_009123	Победить монстров в Ramybe скалы
QUEST_LV_0200_20150918_009124	Ramybe скалы вроде бы теперь в безопасности. Поговорите Пилигрим Орвилл.
QUEST_LV_0200_20150918_009125	Пилигрим Орвил пошел Ramybe скалы, чтобы похоронить своего друга. Следуйте за ним, чтобы Ramybe скалы.
QUEST_LV_0200_20150918_009126	Фермер-арендатор Вайс спрятал семена, которые он тайно вырос, но он не может взять их из-за монстров. Пожалуйста, принесите семя мешок с фермы Плаза.
QUEST_LV_0200_20151001_009127	Если я собираюсь падать завтра, я не волнует, если я рискую своей жизнью сегодня.
QUEST_LV_0200_20151001_009128	Я уверен, что они привели их к Drasa поклонения руины, но так как мы не можем покинуть это место, мы умрем из-за голода.{nl}я сожалею, но вы можете получить украденные припасы для нас??
QUEST_LV_0200_20151001_009129	Когда мы были в эпоху премьер-видных, мы были поддержаны превосходные войска, много бухла и т. д.{nl}но, 600 лет прошло после того, как премьер видных умер.{nl}
QUEST_LV_0200_20151001_009130	Would dead people come back if the curse is cured in this city?{nl}No, but the times after now are more important.
QUEST_LV_0200_20151001_009131	Я понимаю их лояльности для королевства, но когда я вижу, как они заставляют людей делать невозможные вещи, которые приводят к гибели людей...{nl}я не знаю, кто это чудовище больше.
QUEST_LV_0200_20151001_009132	Если бы вы могли мне помочь...{nl}может быть, мы могли бы спасти их, даже если они упрямо окаменения. Хотя они могут потерять свои объятия.
QUEST_LV_0200_20151001_009133	Did you defeat it? Great job!{nl}Now I don't have to fear this place being torn down until another monster shows up.
QUEST_LV_0200_20151001_009134	Have you met Wilhelmina at Kovos Hall before?{nl}She is in charge of the Knights of Kaliss, but she is full of hatred towards the kingdom soldiers.{nl}
QUEST_LV_0200_20151001_009135	Мы в хороших отношениях с ней, ведь мы хорошо работаем вместе.{nl}мы смогли спланировать поскольку она помогла нам хорошо.{nl}
QUEST_LV_0200_20151001_009136	Can you hand over the records to Wilhelmina that you've brought?{nl}We told them that we would help penetrate into Gargoyle so don't forget to receive something before you come here. 
QUEST_LV_0200_20151001_009137	Наконец, в записях, которые не были в руках у солдат королевства здесь.{nl}
QUEST_LV_0200_20151001_009138	This is... a love letter? {nl}I don't need it so you can take it or throw it away.{nl}
QUEST_LV_0200_20151001_009139	Хм... он содержит большую часть того, что нам нужно. {nl}пожалуйста, отдай этот свиток, чтобы Аманда{nl}
QUEST_LV_0200_20151001_009140	Этот свиток предназначен для лица против Горгульи.{nl}звуки не просачиваются неважно, что вы делаете что-нибудь внутри, поэтому Вы не будете обнаружены солдат королевства.
QUEST_LV_0200_20151001_009141	Рыцари Kaliss обладает множеством компетентных мастеров.{nl}они дадут нам то, что нам нужно.
QUEST_LV_0200_20151001_009142	Scroll?{nl}I thought she'd give us something like Balista or a magicial weapon...{nl}
QUEST_LV_0200_20151001_009143	Но, это самый эффективный метод сейчас не так??
QUEST_LV_0200_20151001_009144	Пожалуйста избавиться от Горгульи.{nl}мне нужно, чтобы упаковать мою сумку на крепость Земли.{nl}это не будет трудно для вас.
QUEST_LV_0200_20151001_009145	Object?{nl}Ah, it is a Monocle that lets you to see the true nature.{nl}We could probably find the room where the treasure is located with that easily right?
QUEST_LV_0200_20151001_009146	Object?{nl}Ah, it is a Monocle that lets you to see the true nature.{nl}We could probably find the room where the treasure is located with that easily right?
QUEST_LV_0200_20151001_009147	Свиток Вильгельмина дала нам потрясающее!{nl}я ничего не слышал даже от рядом.{nl}
QUEST_LV_0200_20151001_009148	Shall we enter the Fortress of the Land?{nl}Let's meet inside.
QUEST_LV_0200_20151001_009149	Копья могучие и никогда не потерять.{nl}я хочу увидеть парня жалкое лицо после тень Gailer мертв.
QUEST_LV_0200_20151001_009150	I heard a monster called Biteregina is threatening people at Manocle Grave.{nl}What do you think? I hope you think of it as the price for learning my skills.
QUEST_LV_0200_20151001_009151	If you were to pick between a gun and a spear, which one would you choose?{nl}If I were you, I would choose both.
QUEST_LV_0200_20151001_009152	Моя душа измельчается и попавшие в печать. {nl}поражение экспериментальным слизи, так что я могу освободиться.
QUEST_LV_0200_20151001_009153	Эти куски еще меня потеряли голоса, чтобы позвонить вам.{nl}пожалуйста, найти моего голоса из Арма.
QUEST_LV_0200_20151001_009154	Пожалуйста, отпустите эту печать.{nl}, когда вы собираете кристаллы ограничение из колбы магам и разбить их, пломба будет нарушена.
QUEST_LV_0200_20151001_009155	Договор должен продолжить. Пожалуйста, отпустите меня.{nl}как эти наблюдатели будут побеждены, мой дух становится свободным.
QUEST_LV_0200_20151001_009156	Я здесь и по всему миру.{nl}моя душа была растерзана давно.{nl}
QUEST_LV_0200_20151001_009157	Где мои другие фигуры...
QUEST_LV_0200_20151001_009158	Are you talking about the fire pot? I know it.{nl}But, I can't give it to you for free. Unless you could get me the condensed oil from Saknis Fields from Blue Puragis...
QUEST_LV_0200_20151001_009159	Для моего будущего ученика, я подготовил приятный подарок на Голодающего демона путь.{nl}я надеюсь, вам понравится.
QUEST_LV_0200_20151001_009160	Очень красиво, действительно.{nl}у вас нет проблем с пониманием моих заклинаний.
QUEST_LV_0200_20151001_009161	Чудотворца Мастер велел мне отдать его вам.{nl}если вы ничего не совершали, я бы оставил его себе... такая жалость.
QUEST_LV_0200_20151001_009162	I don't really mind the rumors, but do people really believe that a spell can preserve your youth? {nl}Well, maybe it can but... {nl}Ah, I don't want to talk about it anymore.
QUEST_LV_0200_20151001_009163	Для людей, которые идут по пути паломника с надеждой, это проклятие так много боли для них.{nl}мы даже не знаем истинную природу проклятия так что я так злюсь.
QUEST_LV_0200_20151001_009164	Я был так зол, что не было никаких носителей откровений тогда.{nl}но, услышав, что некоторые откровений спас Маг башни, мои мысли изменились.{nl}
QUEST_LV_0200_20151001_009165	Я думаю, что богиня может вернуться, когда они заканчивают свои обязанности и я завершаю мой.
QUEST_LV_0200_20151001_009166	Я не ожидал, что истинные намерения проклятия на этот лес после Великого собора.{nl}к счастью, мы смогли остановить проклятие из-за одного Богослов, но мне стыдно.
QUEST_LV_0200_20151001_009167	Проклятие здесь все серьезно, но есть и другие места, где влияние проклятия является более тяжелой. {nl}город Ruklys... я слышал там все превращается в камень из-за проклятия окаменения.
QUEST_LV_0200_20151001_009168	Я думаю, что это была моя вина, что я покинул башню магов, чтобы спасти людей после Medzio Диена.{nl}возможно, вместо откровений, я смог бы спасти башню.
QUEST_LV_0200_20151001_009169	Я слышал историю про Богослова, который остановил Демон Лорд на Великий Собор, навсегда связавший проклятие в этом регионе.{nl}я думаю... теперь не будет больше людей, кто страдает от проклятия.
QUEST_LV_0200_20151001_009170	Я был во многих местах, прежде чем в моей жизни, но это место действительно ужасное.{nl}даже если я хочу спасти тех, кто проклят, единственное, что я могу сделать, это помочь им заснуть спокойно.
QUEST_LV_0200_20151001_009171	Я услышал Богослов победил повелителя демонов атакующих мага башню.{nl}это самая позитивная новость я слышал в последнее время.{nl}все другие новости, которые я слышал, были ужасные.
QUEST_LV_0200_20151001_009172	Is it true that some Revelator defeated the Demon Lord who casted the curse in this region?{nl}If that's true, it is so fortunate since we don't have to see those horrible things again.
QUEST_LV_0200_20151001_009173	Oh no... What was I doing?{nl}Ahhh. My Liliya...{nl}
QUEST_LV_0200_20151001_009174	Не связывайся с едой свай.{nl} он должен иметь прошаркал здесь... просто продолжай наблюдать.
QUEST_LV_0200_20151001_009175	В то время как мои братья были на пути в поезд, они все умерли от демонов " трюки.{nl}мне жаль моих братьев, которые не могут вернуться на богинь.{nl}
QUEST_LV_0200_20151001_009176	И они были так поглощены безумием, даже после их смерти, они не могли даже вернуться к богиням.{nl}вот почему я хочу дать им вечный сон.{nl}
QUEST_LV_0200_20151001_009177	Это было действительно ужасно. Те братья, которые использовали, чтобы быть добры друг к другу, калечить и убивать друг друга...{nl}и демоны обманули те братья, которые не привели к богиням.{nl}
QUEST_LV_0200_20151001_009178	Мои братья будут обвинять друг друга и кричать в безумии даже после их смерти.{nl}на алтарь богини.{nl}
QUEST_LV_0200_20151001_009179	Смерть может быть цена, которую я платить за мои грехи. {nl}даже если это было связано с проклятием демонов, это все же грех, который я совершил.
QUEST_LV_0200_20151001_009180	Я не хотел... умереть вот так... {nl}мать...
QUEST_LV_0200_20151001_009181	Я понял, что после моей смерти, который мой коллега бросил меня из-за проклятия. {nl}эта вещь теперь для меня бесполезен... Спасибо.
QUEST_LV_0200_20151001_009182	Наш отряд все мертвы из-за моей некомпетентности.{nl}я единственный, кто остался в живых, но я не, что останется правда ненадолго.
QUEST_LV_0200_20151001_009183	Похоже, вы сделали больше, чем Рой части.{nl}если бы не ты, мы бы не добились успеха.{nl}
QUEST_LV_0200_20151001_009184	Они все либо мертвы, либо отсюда.{nl}держу пари, я единственный, кто остался на этом этаже. Эти трусы.
QUEST_LV_0200_20151001_009185	Мое тело... к сожалению, он не принадлежит мне.{nl}я сожалею, что мои ошибки, которые я совершил в прошлом из-за моей жадности.
QUEST_LV_0200_20151001_009186	Надеюсь, у вас все в порядке.{nl}мы все сделали, но Вы не.
QUEST_LV_0200_20151001_009187	Но...{nl}он не будет работать с этим материалом в одиночку.{nl}мы также должны иметь инструменты...
QUEST_LV_0200_20151001_009188	{nl}When you go to Orsha, there must be people who have the tools.{nl}Maybe the blacksmith or the equipment merchant...?{nl}Can you go there?
QUEST_LV_0200_20151001_009189	Будьте осторожны на вашем пути
QUEST_LV_0200_20151001_009190	Строительство святилища...
QUEST_LV_0200_20151001_009191	{nl}Hmm...
QUEST_LV_0200_20151001_009192	{nl}я бы продать его, получив деньги, но я просто дам тебе это время.{nl}однако, просто выбросить после использования его, так как это одноразовые, после одного использования.
QUEST_LV_0200_20151001_009193	Я рад, что мы получили его обратно. {nl}я, наконец, получить, чтобы увидеть священную реликвию, даже после смерти.{nl}
QUEST_LV_0200_20151001_009194	Пожалуйста, найдите моего друга.{nl}я так тяжело пережил до сих пор, поэтому я не могу просто умереть здесь.
QUEST_LV_0200_20151001_009195	Ruklys армии офицерский дух
QUEST_LV_0200_20151001_009196	Наконец-то... худшее проклятие было отменено!
QUEST_LV_0200_20151001_009197	Хорошо.{nl}поскольку убежище является безопасным теперь, вы можете покинуть крепость Земли.
QUEST_LV_0200_20151001_009198	Что означает демон оккупировали нашу крепость.{nl}я чувствую себя настолько обиженной. Этот магический круг... если бы мы только могли иметь магический круг...{nl}
QUEST_LV_0200_20151001_009199	Ладно... я чувствую ту же энергию, которую я чувствовал от Ruklys от вас.{nl}
QUEST_LV_0200_20151001_009200	Я открою портал. {nl}я сокрыл средства для лица против демона здесь.{nl}
QUEST_LV_0200_20151001_009201	Пожалуйста, поспешите в скрытом месте!
QUEST_LV_0200_20151001_009202	What is this? A protective magic circle? {nl}Only the stories regarding the magic circle are here.{nl}
QUEST_LV_0200_20151001_009203	Ой... я не должна была этого ожидать. {nl}здесь ничего нет. Мы лучше пойдем в другой район.{nl}
QUEST_LV_0200_20151001_009204	Я буду смотреть вокруг, поэтому давай встретимся у жителей района.
QUEST_LV_0200_20151001_009205	Well, shall we take a look around Monocle?{nl}If you can see something special, there must be something important there.
QUEST_LV_0200_20151001_009206	Can you bring more of these old bombs?{nl}I am not trying to use them for malicious purposes. I just want to do some research.
QUEST_LV_0200_20151001_009207	Я дам вам инструменты, чтобы разобрать бомбу.{nl}если Вы нарушите детонатор с тем, вы можете принести бомбы безопасно.{nl}
QUEST_LV_0200_20151001_009208	Я не знаю, как вы нашли эту бомбу, но я думаю, что они использовали металлоискатель.{nl}при исследовании более С, что, возможно, мы могли бы найти некоторые остатки.{nl}
QUEST_LV_0200_20151001_009209	Найти бомбы с помощью этого металлоискателя и использовать те инструменты, которые я дал вам перерыв детонатор.{nl}затем вы можете довести их безопасно. Я рассчитываю на вас!
QUEST_LV_0200_20151001_009210	Этого должно быть более чем несколько сотен лет.{nl}что они пытались сделать с этой бомбой...{nl}в любом случае, спасибо! 
QUEST_LV_0200_20151001_009211	By the way, why did you come here?{nl}Since you don't say anything about it, this must be important right?{nl}
QUEST_LV_0200_20151001_009212	В любом случае, давайте идти глубже внутрь.{nl}Вы должны рассказать мне позже. Ладно??
QUEST_LV_0200_20151001_009213	Демоны не имеют специальных объектов.{nl}что... у вас нет их??
QUEST_LV_0200_20151001_009214	Носитель откровений. {nl}после Medzio Диена, Vakarine власть стала слабой, поэтому мы должны защищать ее.
QUEST_LV_0200_20151001_009215	Это не мир людей и мир демонов, но иное пространство Vakarine...{nl}мы заключили с демонами внутри этой тюрьмы, кто зло в мир.{nl}
QUEST_LV_0200_20151001_009216	Однако, после Medzio Диена, Vakarine не было силы, чтобы сохранить это пространство.{nl}как вы можете видеть, это пространство постепенно рушится и размерным трещина становится все шире.{nl}
QUEST_LV_0200_20151001_009217	Демон-лордов, которые заперты в этой тюрьме, пытаясь скрыться здесь.{nl}другие демоны, которые пришли сюда через мерное трещина объединяют их.{nl}
QUEST_LV_0200_20151001_009218	Vakarine отчаянно нуждается в вашей помощи.{nl}пожалуйста, помогите нам с свои силы, чтобы победить демонов в этой тюрьме.
QUEST_LV_0200_20151001_009219	Пожалуйста, сначала остановить демонов, которые пытаются освободить демона Господь Блуте, что заперта здесь.
QUEST_LV_0200_20151001_009220	Демон Господа Блуте слуги пытаются помочь ему бежать отсюда. {nl}кольчугу помощь будет полезна на этот раз.
QUEST_LV_0200_20151001_009221	Сейчас, Kupole Zydrone держит вниз Блуте. {nl}но поскольку Vakarine власть ослабла после Medzio Диена, мы не такие какие мы были раньше.{nl}
QUEST_LV_0200_20151001_009222	К счастью, в Блуте не была полностью освобождена еще...{nl}однако мы не знаем, как долго мы сможем выдержать сами.{nl}
QUEST_LV_0200_20151001_009223	Мы должны каким-то образом ослабить власть демона Господь Блуте.{nl}я уверен, что его союзники раскинули лагерь возле Bjaurer убежище.{nl}пожалуйста, получите отметку в Блуте, что они держат.
QUEST_LV_0200_20151001_009224	Нашей первоначальной обязанностью было контролировать и управлять тюрьмой.{nl}но... теперь, мы пытаемся в наших силах, чтобы просто сдержать демонов. {nl}чего бы это ни стоило.
QUEST_LV_0200_20151001_009225	Так вы тот, кто Vakarine говорили.{nl}молодец. Все будет сделано с богиней' будет.
QUEST_LV_0200_20151001_009226	Мы заперли Блуте через этот барьер.{nl}
QUEST_LV_0200_20151001_009227	Никаких демонов кроме Блуте знает больше о Vakarine ослабление, чем мы.{nl}Блуте не вполне еще свободен, так что у нас теперь есть возможность избавиться от него.{nl}
QUEST_LV_0200_20151001_009228	But, if we don't defeat Blut quickly, this barrier will collapse soon.{nl}Let's defeat him at once. Вы готовы??{nl}
QUEST_LV_0200_20151001_009229	Мы были в состоянии победить Блуте из-за тебя.{nl}Вы принесли нам надежду.{nl}
QUEST_LV_0200_20151001_009230	Как вы знаете, Vakarine мощности... действительно слаб на данный момент.{nl}если бы мы не победили Блуте здесь, мы, возможно, не были в состоянии продолжать защищать Vakarine.{nl}
QUEST_LV_0200_20151001_009231	Ладно. Пожалуйста, идите на 2-ой Окружной тюрьмы.{nl}, чтобы победить очередного демона господа, я уверен Kupole Arune подготовил что-то.
QUEST_LV_0200_20151001_009232	Демоны, которые потеряли Блуте вызывают ярость. {nl}если они уходят во внешний мир, это будет большой катастрофой.
QUEST_LV_0200_20151001_009233	Барьер постепенно рушится.{nl}я не знаю, что произойдет, даже если мы одолели демоны...
QUEST_LV_0200_20151001_009234	Хорошая работа. {nl}это облегчение, что эти демоны не заметили ослабление русификатор для внешнего мира.
QUEST_LV_0200_20151001_009235	Освоения человеком команды пришли из внешнего мира в прошлом. {nl}к сожалению, они все умерли раньше мы могли делать что угодно. {nl}
QUEST_LV_0200_20151001_009236	Люди не должны постоянно приходить сюда.
QUEST_LV_0200_20151001_009237	Так ты Богослов Vakarine говорили. {nl}это здорово, что Вы не поздно.{nl}
QUEST_LV_0200_20151001_009238	Демон Господа Nuaele власть слабеет тюрьмы тревожными темпами.{nl}тем не менее, мы Kupoles иметь никакого способа, чтобы остановить Nuaele сейчас.{nl}
QUEST_LV_0200_20151001_009239	Также, Kupole Алдона сказала мне, что она не могла просто ждать откровений...{nl}без времени для уговоров, она пошла после Nuaele.
QUEST_LV_0200_20151001_009240	Пожалуйста, остановить демонов, которые придут сюда через мерное трещина.{nl}если бы вы могли остановить их, прежде чем они присоединятся Nuaele, это будет большим подспорьем для безопасности Алдона.
QUEST_LV_0200_20151001_009241	Богиня.{nl}надеюсь, не случилось ничего такого, Алдона...
QUEST_LV_0200_20151001_009242	С ней сил поубавилось, Nuaele власть должна быть ослаблена.{nl}прежде чем что-то случится Алдона, я расскажу вам, что делать дальше.
QUEST_LV_0200_20151001_009243	Nuaele трудно встретиться лицом к лицу с только нам.{nl}но Nuaele не всегда была такой сильной.{nl}
QUEST_LV_0200_20151001_009244	Nuaele стал сильнее только после получения кусочков кольчугу печатью. {nl}боевые кольчуги служителей, потерявших мастер начал следовать за ней, поскольку у нее были кусочки уплотнителя{nl}
QUEST_LV_0200_20151001_009245	С тех пор, Nuales начал орудовать ей новую могучую силу,{nl}в кольчугу, она как предателя.{nl}
QUEST_LV_0200_20151001_009246	Зная, что там должен быть способ увеличить кольчугу питания.{nl} это не плохая идея кольчугу с точки зрения либо.
QUEST_LV_0200_20151001_009247	Пожалуйста, идите на 2-ой изолятор. {nl}я уверен кольчугу бывшего слуги собрались там.
QUEST_LV_0200_20151001_009248	Я уверен, что Демон Господа Nuaele осознает этого сейчас.{nl}, что сила других-это не ее держать.
QUEST_LV_0200_20151001_009249	Хм... есть кое-что, что тревожит меня.{nl} когда Nuaele собирали силы, она могла бы попытаться вырваться сразу.{nl}
QUEST_LV_0200_20151001_009250	Но, похоже, что Nuaele чего-то ждут.{nl}мы должны выяснить, что она планирует.{nl}{nl}
QUEST_LV_0200_20151001_009251	Пожалуйста, допросите слуг Nuaele.{nl}с Хауберк тоже демон, его будет легко читать их мысли.{nl}это становится еще проще, когда они в своей форме духа.
QUEST_LV_0200_20151001_009252	Кажется, она планировала сделать это тюрьма ее мир с самого начала. {nl}если ее планы добиться успеха, даже если Богиня Vakarine полномочия были восстановлены, было бы не достаточно.
QUEST_LV_0200_20151001_009253	Теперь, пожалуйста, встретиться с Алдона. {nl}она приведет вас к Nuaele территории.
QUEST_LV_0200_20151001_009254	Богиня Vakarine ждет вас в районе 3.{nl}но, я чувствую себя несколько неловко, поскольку она настолько упряма.
QUEST_LV_0200_20151001_009255	В прошлом, она рассказала нам, что она не могла просто ничего не делать, даже если ее сила была ослаблена.{nl}мы еле-еле удалось уговорить ее.{nl} 
QUEST_LV_0200_20151001_009256	Что-то предотвратить, чтобы Vakarine, просьба переместить в район 3 как можно быстрее.{nl}
QUEST_LV_0200_20151001_009257	Размерная трещины и демонические лорды... они были неизбежны.{nl}я чувствовал, что силы мои становятся слабее после Medzio Диена и я должен был найти какой-то способ.{nl}
QUEST_LV_0200_20151001_009258	Я дал моей Дионисия Великой державой, не должны быть украдены с повелителем демонов.{nl}но, эта сила была настолько сильна, он начал контролировать Дионисия...{nl}
QUEST_LV_0200_20151001_009259	Я не могу рассказать вам подробности о том, что мощность в этот момент.{nl}но, пожалуйста, просто знаю, что это сила, которая управляет Дионисия-единственный способ, чтобы закрыть размерные трещина.{nl}
QUEST_LV_0200_20151001_009260	Пожалуйста, заполните Вечерняя Звезда ключ с Kupole Zydrone.{nl}с вечерней звезды ключ, Дионисия могли вернуть его обратно контроль над этой силой.
QUEST_LV_0200_20151001_009261	Спаситель!{nl}я ждала тебя. {nl}
QUEST_LV_0200_20151001_009262	Сильные державы, которая контролирует Дионисия' эго было, чтобы не попасть в руки демонов.{nl}не упомянуть Дионисия как мощный опекуна Vakarine.{nl}
QUEST_LV_0200_20151001_009263	Но, важно остановить демонов...{nl}у нее не было выбора, но сделать щемяще решение.
QUEST_LV_0200_20151001_009264	Мы решили уплотнение Дионисия и его власти до тюрьмы восстанавливает стабильность...{nl}
QUEST_LV_0200_20151001_009265	Мы не знаем, что этой силой является точно.{nl}но, мы знаем, что он может быть использован, чтобы закрыть размерные трещину и не должно быть отнято.{nl}
QUEST_LV_0200_20151001_009266	К счастью, мы умели отделять эту власть, если мы ставим святую силу в Вечерняя Звезда ключ.{nl}вы готовы??
